Series Name,Series Code,Country Name,Country Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,,AFE,Unit (0.0),11.9,11.1,7.0,5.8,5.4,5.4,6.4,5.2,4.1,4.3,5.4,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,,AFW,Unit (0.0),6.7,5.3,4.7,1.6,0.3,2.0,1.8,1.8,2.6,1.6,1.1,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,El mundo árabe,ARB,Unit (0.0),14.8,10.4,4.8,1.5,0.6,-2.1,0.7,6.0,8.0,2.0,0.9,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Estados pequeos del Caribe,CSS,Unit (0.0),5.1,1.1,2.0,2.4,1.6,3.0,0.9,2.1,1.1,2.7,-0.4,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Europa Central y del Báltico,CEB,Unit (0.0),,5.6,2.4,1.4,1.3,1.0,1.1,2.9,3.5,3.2,2.4,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,inicial del dividendo demográfico,EAR,Unit (0.0),12.0,8.0,5.9,4.0,4.2,2.8,2.5,4.3,3.7,2.5,2.9,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Asia oriental y el Pacífico,EAS,Unit (0.0),6.1,2.8,3.4,1.8,2.5,2.5,1.6,2.9,3.2,1.7,1.2,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Asia oriental y el Pacífico (excluido altos ingresos),EAP,Unit (0.0),7.8,4.5,3.7,2.1,3.0,2.1,1.6,3.5,3.3,1.7,1.5,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Asia oriental y el Pacífico (BIRF y la AIF),TEA,Unit (0.0),7.8,4.5,3.8,2.1,3.0,2.3,2.4,3.6,3.4,1.6,1.6,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Zona del Euro,EMU,Unit (0.0),3.3,2.7,1.7,1.3,0.8,1.0,0.9,1.3,1.8,1.8,1.3,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Europa y Asia central,ECS,Unit (0.0),5.4,4.2,2.3,1.6,1.4,1.3,1.3,1.8,2.1,2.1,2.0,
"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,Europa y Asia central (excluido altos ingresos),ECA,Unit (0.0),,23.5,5.3,3.4,2.6,2.9,3.3,5.3,3.9,3.9,3.1,
